GARMIN CONSOLIDATED SLEEP REPORT
===============================

Date         | Deep     | REM      | Light    | Total
-------------------------------------------------------
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
N/A          | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-05-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-29   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2016-12-31   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-01-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
